zonei,Oi_road,Oi_bus,Oi_rail,Oi_all,Dj_road,Dj_bus,Dj_rail,Dj_all
0,162619.5666146918,29402.934833825642,133851.4985514826,325874.00000000006,1473.7968456579333,470.8270812706396,1348.1142074698828,3292.7381343984557
1,245.33187914005154,39.318382209632546,264.3497386503158,549.0,802.5055315789411,97.44190605486196,1020.5477596600832,1920.4951972938863
2,1092.344014945852,166.96313840759626,1215.6928466465515,2475.0,1583.172369993496,174.39149047705362,2088.8825995123398,3846.4464599828893
3,336.1352417208873,60.84287289757616,475.02188538153666,872.0000000000001,750.378964005387,118.13164629364353,1230.9533123379836,2099.463922637014
4,309.0602771742884,44.78665820154306,353.1530646241686,707.0,1238.2275553757506,150.22556511176435,1669.8137366913131,3058.266857178828
5,1143.6087041350165,191.93854843737824,1313.4527474276056,2649.0000000000005,1121.1350698203696,138.4825769193224,1522.3672766671737,2781.9849234068656
6,534.8652638973879,78.40399046618649,633.7307456364256,1247.0,1599.4241353374396,188.62204497036836,2204.1454083455033,3992.191588653311
7,174.84891192920975,25.896291789549057,210.2547962812411,410.9999999999999,1272.3438504453404,149.18925365479623,1785.3568681533313,3206.889972253468
8,340.595825566734,47.383654730902165,386.0205197023638,774.0,1129.8061271426607,138.61194210388075,1468.6497576031322,2737.0678268496736
9,935.4345706647896,136.16547310213008,908.3999562330806,1980.0000000000005,839.4353269328972,107.18218232266528,863.3626018484167,1809.9801111039792
10,386.22585692066184,56.90804544018768,380.8660976391504,823.9999999999999,1620.1330663855233,171.3369768015126,1753.5964591769582,3545.066502363994
11,257.3609012881224,37.36881259534954,253.2702861165281,548.0,1198.300413749362,141.91538949379566,1245.3420903111225,2585.55789355428
12,407.3244055391135,60.22475833607748,393.4508361248091,861.0,1248.2806615153947,153.458028509346,1246.8336406746344,2648.572330699375
13,282.025844695206,44.92907230854939,315.04508299624456,642.0,890.6243586957847,117.1505081859201,1143.6046751501726,2151.3795420318775
14,2714.616958993555,382.54864870772553,2694.8343922987196,5792.0,1371.6143496456518,152.98837137847465,1476.276083456247,3000.878804480373
15,323.12059161149614,47.138564895753944,381.74084349275,752.0,1461.8492430193696,162.94376702464265,2036.241515309167,3661.0345253531796
16,195.2726492532228,31.68098286743111,226.0463678793461,453.0,1314.9729965393542,175.43686763895676,1728.7397532601433,3219.1496174384542
17,1671.4263438252437,240.83756276741738,1330.7360934073386,3243.0,1207.127483545669,160.36356528822407,1099.1138675679924,2466.6049164018855
18,1809.196264063631,189.09566660576604,1916.7080693306032,3915.0,1371.075522123909,139.3333445017156,1674.367405831283,3184.7762724569075
19,2425.2927471965054,345.457598752599,2326.249654050896,5097.0,1117.7813380657726,137.13845286816291,1240.3660566720914,2495.285847606027
20,692.3916530282181,89.25483060851418,800.3535163632677,1582.0,1182.9468783137527,134.84117873954494,1577.6304287298688,2895.418485783166
21,887.105817684077,87.61110436093773,932.283077954985,1906.9999999999995,900.6518400148731,85.51069678344956,1071.4988884605727,2057.661425258895
22,2130.14063799099,338.60727765492396,1406.2520843540858,3875.0,1768.074409732916,246.54981019383914,1117.6896611555665,3132.3138810823216
23,436.82238781364777,68.58459887108565,390.59301331526643,895.9999999999998,1555.7914748143387,199.3231440862511,1676.3739917832618,3431.4886106838517
24,212.64922163347381,24.88532593345758,168.46545243306846,405.9999999999999,1143.3203409812404,105.26555404876953,1051.2997279849083,2299.885623014918
25,1505.353159576841,237.47824256794433,1251.1685978552152,2994.000000000001,1597.7883202460778,227.58427436262582,1510.3579073251228,3335.7305019338264
26,735.3797287006784,100.88046094058542,554.7398103587359,1390.9999999999995,1273.8527090782402,144.85468783530132,1108.3757049543076,2527.083101867849
27,765.8133825096271,122.14461093925465,686.0420065511184,1574.0000000000002,1529.329493500229,189.30601803100674,1652.4330336057897,3371.0685451370255
