idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7875068.016699497,3020756.6870607245,9164609.296239752,-283.34242003783584,-71.75241875695065,355.094838777557,127394236.97560136,47481320.86912158,238888193.9478555,127389158.62727708,47480586.666109286,238901813.54277653,-5078.3483242839575,-734.2030122950673,13619.594921022654,0,0,1,0.0,0.0,4.000322341918945,0.0,0.0,192.4079303741455,0,0,4.000322341918945,0,0,131791,0.0,0.0,831710.8156817355,2,1000,974,144.01160430908203
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7875244.767159339,3020801.5993087837,9164387.63353191,-106.59196019545197,-26.840170697774738,133.43213093467057,127394236.97560136,47481320.86912158,238888193.9478555,127392298.63838758,47481042.6619138,238893618.27719215,-1938.3372137844563,-278.20720778405666,5424.329336643219,0,0,1,0.0,0.0,4.660160541534424,0.0,0.0,258.8536262512207,0,0,4.660160541534424,0,0,58589,0.0,0.0,373823.85172867775,2,1000,990,167.76577949523926
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7875291.511677099,3020813.75680846,9164328.73151445,-59.847442435100675,-14.682671021204442,74.53011347539723,127394236.97560136,47481320.86912158,238888193.9478555,127393118.05474083,47481165.791418195,238891692.22900227,-1118.920860528946,-155.07770338654518,3498.2811467647552,0,0,1,0.0,0.0,4.265958309173584,0.0,0.0,214.32509994506836,0,0,4.265958309173584,0,0,51617,0.0,0.0,353650.1450738466,2,1000,991,153.57449913024902
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7874998.372306242,3020740.837265754,9164694.790427934,-352.98681329283863,-87.6022137273103,440.58902695961297,127394236.97560136,47481320.86912158,238888193.9478555,127387957.49480306,47480453.98606553,238904303.73097,-6279.480798304081,-866.8830560520291,16109.783114492893,0,0,1,0.0,0.0,4.844910621643066,0.0,0.0,333.3710746765137,0,0,4.844910621643066,0,0,92694,0.0,0.0,477693.09953617456,2,1000,992,174.4167823791504
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7875135.205521668,3020774.85317749,9164523.941300841,-216.153597866185,-53.586301991250366,269.73989986628294,127394236.97560136,47481320.86912158,238888193.9478555,127390346.72850443,47480781.37544787,238898289.27714935,-3890.247096925974,-539.4936737120152,10095.329293847084,0,0,1,0.0,0.0,3.425276517868042,0.0,0.0,267.28242015838623,0,0,3.425276517868042,0,0,99119,0.0,0.0,524812.0481791851,2,1000,993,123.30995464324953
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7875254.890612929,3020804.860350495,9164374.249036562,-96.46850660536438,-23.579128986224532,120.0476355869323,127394236.97560136,47481320.86912158,238888193.9478555,127392445.04796499,47481071.57445454,238893387.6325278,-1791.9276363700628,-249.29466704279184,5193.684672296047,0,0,1,0.0,0.0,2.830103874206543,0.0,0.0,186.47770500183105,0,0,2.830103874206543,0,0,71157,0.0,0.0,493592.737374382,2,1000,994,101.88373947143555
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7875301.366099059,3020816.451119588,9164316.182781355,-49.99302047584206,-11.988359893206507,61.9813803806901,127394236.97560136,47481320.86912158,238888193.9478555,127393283.74751967,47481191.92667423,238891296.2360186,-953.2280816882849,-128.94244734942913,3102.2881630957127,0,0,1,0.0,0.0,3.380707263946533,0.0,0.0,155.7073917388916,0,0,3.380707263946533,0,0,54790,0.0,0.0,379218.7642161817,2,1000,995,121.70546150207521
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7875201.133926754,3020791.536424478,9164441.329648739,-150.22519278060645,-36.90305500337854,187.12824776396155,127394236.97560136,47481320.86912158,238888193.9478555,127391494.2402043,47480937.06492153,238895762.67319995,-2742.735397055745,-383.804200053215,7568.725344449282,0,0,1,0.0,0.0,2.259122133255005,0.0,0.0,220.20637035369873,0,0,2.259122133255005,0,0,89767,0.0,0.0,623730.2386791706,2,1000,996,81.32839679718018
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7875318.760584442,3020820.936156612,9164294.303258909,-32.598535092547536,-7.503322869539261,40.10185793414712,127394236.97560136,47481320.86912158,238888193.9478555,127393599.46026948,47481238.07347124,238890279.77952477,-637.5153318792582,-82.7956503406167,2085.8316692709923,0,0,1,0.0,0.0,3.5181708335876465,0.0,0.0,135.97184944152832,0,0,3.5181708335876465,0,0,51739,0.0,0.0,356885.09431047196,2,1000,997,126.65415000915527
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7875046.632365869,3020753.713903658,9164633.653730437,-304.7267536651343,-74.72557582333684,379.4523294623941,127394236.97560136,47481320.86912158,238888193.9478555,127388965.80990355,47480575.14872904,238902128.26790494,-5271.165697813034,-745.7203925400972,13934.3200494349,0,0,1,0.0,0.0,2.208860158920288,0.0,0.0,355.47551250457764,0,0,2.208860158920288,0,0,156637,0.0,0.0,868534.3765355438,2,1000,998,79.51896572113037
10,7875351.3591195345,3020828.4394794814,9164254.201400975,7875272.262120815,3020809.4460172267,9164352.291861981,-79.09699871949852,-18.993462254758924,98.09046100638807,127394236.97560136,47481320.86912158,238888193.9478555,127392721.93876658,47481111.477543846,238893269.96628648,-1515.0368347764015,-209.39157773554325,5076.01843097806,0,0,1,0.0,0.0,1.5120042562484741,0.0,0.0,58.403995513916016,0,0,1.5120042562484741,0,0,83296,0.0,0.0,584051.0867476898,2,1000,999,54.43215322494507
11,7875351.3591195345,3020828.4394794814,9164254.201400975,7875297.572407966,3020815.8363839574,9164320.591208048,-53.786711568944156,-12.603095524013042,66.38980707339942,127394236.97560136,47481320.86912158,238888193.9478555,127393192.67172594,47481180.926563896,238891654.10508454,-1044.3038754165173,-139.9425576850772,3460.1572290360928,0,0,1,0.0,0.0,0.6541717052459717,0.0,0.0,35.04782438278198,0,0,0,0,0,68862,0.0,0.0,483310.36977756023,2,1000,1000,23.55018138885498
12,7875351.3591195345,3020828.4394794814,9164254.201400975,7875284.339712076,3020812.6496283496,9164337.010659583,-67.01940745860338,-15.789851131848991,82.8092586081475,127394236.97560136,47481320.86912158,238888193.9478555,127392942.3755412,47481145.024055235,238892675.92105713,-1294.6000601649284,-175.84506634622812,4481.9732016325,0,0,1,0.0,0.0,1.5279103517532349,0.0,0.0,59.01840019226074,0,0,1.5279103517532349,0,0,93554,0.0,0.0,576664.718225824,2,1000,1001,55.004772663116455
13,7875351.3591195345,3020828.4394794814,9164254.201400975,7874746.970361792,3020678.947125852,9165008.082512332,-604.3887577429414,-149.49235362932086,753.8811113573611,127394236.97560136,47481320.86912158,238888193.9478555,127384037.63528328,47479865.29624072,238914591.27993357,-10199.340318083763,-1455.5728808641434,26397.33207806945,0,0,1,0.0,0.0,3.1299519538879395,0.0,0.0,450.4167652130127,0,0,3.1299519538879395,0,0,215188,0.0,0.0,1162956.434828639,2,1000,1002,112.67827033996583
14,7875351.3591195345,3020828.4394794814,9164254.201400975,7875265.369965643,3020808.155553572,9164360.474480756,-85.98915389180183,-20.283925909548998,106.27307978086174,127394236.97560136,47481320.86912158,238888193.9478555,127392635.40570635,47481102.50384535,238893636.58623913,-1601.5698950141668,-218.3652762323618,5442.638383626938,0,0,1,0.0,0.0,2.31215238571167,0.0,0.0,103.49056720733643,0,0,2.31215238571167,0,0,102329,0.0,0.0,642816.5927449465,2,1000,1003,83.23748588562012
15,7875351.3591195345,3020828.4394794814,9164254.201400975,7875074.545626061,3020760.402343521,9164599.052030426,-276.8134934734553,-68.03713596053421,344.85062945075333,127394236.97560136,47481320.86912158,238888193.9478555,127389474.6360912,47480642.74299787,238902079.3963359,-4762.339510157704,-678.1261237114668,13885.448480397463,0,0,1,0.0,0.0,2.6593027114868164,0.0,0.0,225.29121780395508,0,0,2.6593027114868164,0,0,174472,0.0,0.0,933073.3875646399,2,1000,1004,95.73489761352539
16,7875351.3591195345,3020828.4394794814,9164254.201400975,7874576.560978552,3020634.6523946067,9165222.786626903,-774.7981409821659,-193.78708487469703,968.5852259285748,127394236.97560136,47481320.86912158,238888193.9478555,127381272.85686924,47479443.93594123,238923624.6628591,-12964.118732124567,-1876.9331803545356,35430.71500360966,0,0,1,0.0,0.0,2.575125217437744,0.0,0.0,345.647180557251,0,0,2.575125217437744,0,0,314185,0.0,0.0,1408251.1188032627,2,1000,1005,92.70450782775879
17,7875351.3591195345,3020828.4394794814,9164254.201400975,7874038.009303114,3020498.3187968284,9165897.671900058,-1313.3498164201155,-330.1206826530397,1643.4704990833998,127394236.97560136,47481320.86912158,238888193.9478555,127372387.17107041,47478146.31627833,238947740.4479074,-21849.8045309484,-3174.5528432503343,59546.50005188584,0,0,1,0.0,0.0,3.047163963317871,0.0,0.0,414.0489692687988,0,0,3.047163963317871,0,0,372551,0.0,0.0,1826457.7754981231,2,1000,1006,109.69790267944336
18,7875351.3591195345,3020828.4394794814,9164254.201400975,7874022.948024443,3020497.825732882,9165913.22624273,-1328.4110950911418,-330.61374659929425,1659.0248417556286,127394236.97560136,47481320.86912158,238888193.9478555,127372092.41469696,47478152.45737507,238945497.77910668,-22144.56090439856,-3168.411746509373,57303.83125117421,0,0,1,0.0,0.0,4.236445903778076,0.0,0.0,465.92191886901855,0,0,4.236445903778076,0,0,368373,0.0,0.0,1693105.3473768062,2,1000,1007,152.51205253601074
19,7875351.3591195345,3020828.4394794814,9164254.201400975,7873454.524578979,3020346.1745614824,9166633.300859565,-1896.8345405552536,-482.26491799904034,2379.09945859015,127394236.97560136,47481320.86912158,238888193.9478555,127363000.56022657,47476704.84295103,238980646.67619565,-31236.41537478566,-4616.026170551777,92452.72834014893,0,0,1,0.0,0.0,4.716079235076904,0.0,0.0,499.85901832580566,0,0,4.716079235076904,0,0,471441,0.0,0.0,2408004.904096484,2,1000,1008,169.77885246276855
20,7875351.3591195345,3020828.4394794814,9164254.201400975,7873434.54785589,3020343.1847535456,9166656.267390555,-1916.8112636441365,-485.2547259358689,2402.0659895800054,127394236.97560136,47481320.86912158,238888193.9478555,127362722.36353436,47476698.181573115,238979413.07629487,-31514.612066999078,-4622.687548466027,91219.12843936682,0,0,1,0.0,0.0,4.929839611053467,0.0,0.0,550.4116687774658,0,0,4.929839611053467,0,0,465296,0.0,0.0,2327670.754807002,2,1000,1009,177.4742259979248
21,7875351.3591195345,3020828.4394794814,9164254.201400975,7874233.073459289,3020548.1479631024,9165652.77857758,-1118.2856602454558,-280.2915163789876,1398.57717660442,127394236.97560136,47481320.86912158,238888193.9478555,127375793.10404141,47478647.529096484,238941387.0917378,-18443.87155994773,-2673.3400250971317,53193.14388230443,0,0,1,0.0,0.0,4.763584136962891,0.0,0.0,633.6249160766602,0,0,4.763584136962891,0,0,347671,0.0,0.0,1761723.7124694586,2,1000,1010,171.48902893066406
22,7875351.3591195345,3020828.4394794814,9164254.201400975,7875190.05446884,3020790.582308788,9164453.36322233,-161.30465069413185,-37.857170693576336,199.16182135604322,127394236.97560136,47481320.86912158,238888193.9478555,127391399.4386671,47480943.08233129,238895043.49082252,-2837.5369342565536,-377.7867902889848,6849.542967021465,0,0,1,0.0,0.0,4.504171371459961,0.0,0.0,491.52891540527344,0,0,4.504171371459961,0,0,51506,0.0,0.0,326547.86936435814,2,1000,1112,162.1501693725586
23,7875351.3591195345,3020828.4394794814,9164254.201400975,7873907.641278596,3020440.519696351,9166085.839025002,-1443.7178409388289,-387.9197831302881,1831.6376240272075,127394236.97560136,47481320.86912158,238888193.9478555,127368762.59957829,47477364.26358003,238949550.37721848,-25474.376023069024,-3956.605541549623,61356.42936298251,0,0,1,0.0,0.0,4.654947280883789,0.0,0.0,408.7492218017578,0,0,4.654947280883789,0,0,279119,0.0,0.0,1444467.2430813662,2,1001,963,167.5781021118164
24,7875351.3591195345,3020828.4394794814,9164254.201400975,7874051.296840935,3020479.102432863,9165903.600726219,-1300.0622785994783,-349.33704661857337,1649.3993252441287,127394236.97560136,47481320.86912158,238888193.9478555,127371336.17839724,47477792.319038294,238945719.9300763,-22900.797204121947,-3528.5500832870603,57525.98222079873,0,0,1,0.0,0.0,3.8728954792022705,0.0,0.0,311.61471462249756,0,0,3.8728954792022705,0,0,276369,0.0,0.0,1472486.6809020601,2,1001,969,139.42423725128174
25,7875351.3591195345,3020828.4394794814,9164254.201400975,7874484.716073925,3020603.5260421787,9165345.757883832,-866.6430456098169,-224.91343730269,1091.5564828570932,127394236.97560136,47481320.86912158,238888193.9478555,127379113.69877668,47479075.18105784,238923948.4464061,-15123.276824682951,-2245.6880637407303,35754.49855059385,0,0,1,0.0,0.0,2.5256247520446777,0.0,0.0,231.46552848815918,0,0,2.5256247520446777,0,0,257531,0.0,0.0,1242622.4029642653,2,1001,974,90.9224910736084
26,7875351.3591195345,3020828.4394794814,9164254.201400975,7874300.778014007,3020558.81980072,9165574.40218516,-1050.581105527468,-269.6196787613444,1320.2007841859013,127394236.97560136,47481320.86912158,238888193.9478555,127376134.66502422,47478762.411756955,238926831.0518719,-18102.31057713926,-2558.457364626229,38637.10401639342,0,0,1,0.0,0.0,4.660170078277588,0.0,0.0,403.4501552581787,0,0,4.660170078277588,0,0,176155,0.0,0.0,657245.9368947744,2,1001,977,167.76612281799316
27,7875351.3591195345,3020828.4394794814,9164254.201400975,7874734.167368582,3020668.821036309,9165031.011595113,-617.1917509520426,-159.61844317242503,776.8101941384375,127394236.97560136,47481320.86912158,238888193.9478555,127383599.23548843,47479792.17211253,238912317.91001806,-10637.740112930536,-1528.697009049356,24123.962162554264,0,0,1,0.0,0.0,3.973768949508667,0.0,0.0,308.16059589385986,0,0,3.973768949508667,0,0,159857,0.0,0.0,607742.9057959318,2,1001,982,143.055682182312
28,7875351.3591195345,3020828.4394794814,9164254.201400975,7874727.28981143,3020676.197202603,9165030.512985978,-624.0693081049249,-152.24227687856182,776.3115850035101,127394236.97560136,47481320.86912158,238888193.9478555,127383847.20730187,47479910.71071513,238908380.8671925,-10389.768299490213,-1410.1584064513445,20186.919337004423,0,0,1,0.0,0.0,3.5332677364349365,0.0,0.0,339.0624990463257,0,0,3.5332677364349365,0,0,137965,0.0,0.0,549253.0852816938,2,1001,984,127.1976385116577
29,7875351.3591195345,3020828.4394794814,9164254.201400975,7875275.310986198,3020809.7151042363,9164348.97390954,-76.04813333693892,-18.724375245161355,94.77250856533647,127394236.97560136,47481320.86912158,238888193.9478555,127392825.30724286,47481123.97538197,238892485.24898988,-1411.6683585047722,-196.89373961091042,4291.301134377718,0,0,1,0.0,0.0,4.635004997253418,0.0,0.0,187.00787544250488,0,0,4.635004997253418,0,0,57959,0.0,0.0,397678.5152988434,2,1001,991,166.86017990112305
30,7875351.3591195345,3020828.4394794814,9164254.201400975,7875191.234179814,3020788.647070538,9164454.118749602,-160.12493972014636,-39.79240894364193,199.91734862700105,127394236.97560136,47481320.86912158,238888193.9478555,127391334.40535817,47480914.98221788,238895981.15982968,-2902.5702431946993,-405.88690370321274,7787.211974173784,0,0,1,0.0,0.0,4.680060863494873,0.0,0.0,208.07861137390137,0,0,4.680060863494873,0,0,93661,0.0,0.0,502859.60669043893,2,1001,993,168.48219108581543
31,7875351.3591195345,3020828.4394794814,9164254.201400975,7875241.59139783,3020801.4203696996,9164390.988232456,-109.76772170420736,-27.019109781831503,136.78683148138225,127394236.97560136,47481320.86912158,238888193.9478555,127392220.34761147,47481038.522950284,238893763.54896867,-2016.6279898881912,-282.34617129713297,5569.601113170385,0,0,1,0.0,0.0,3.6041271686553955,0.0,0.0,144.58129405975342,0,0,3.6041271686553955,0,0,71860,0.0,0.0,502705.4348117113,2,1001,994,129.74857807159424
