idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7871203.157446104,3020116.698949245,9169114.143604623,-4148.201673430391,-711.7405302366242,4859.942203648388,127394236.97560136,47481320.86912158,238888193.9478555,127322689.79561155,47474704.03627618,239016507.04070726,-71547.17998981476,-6616.832845404744,128313.092851758,0,0,1,0.0,0.0,4.303768634796143,0.0,0.0,255.92193031311035,0,0,4.303768634796143,0,0,438965,0.0,0.0,2201618.6221936075,2,580,767,154.93567085266113
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7871111.601560802,3020110.7131725177,9169211.685266698,-4239.757558732294,-717.726306963712,4957.483865723014,127394236.97560136,47481320.86912158,238888193.9478555,127321122.81019825,47474585.91954971,239008224.78185764,-73114.16540311277,-6734.949571870267,120030.83400213718,0,0,1,0.0,0.0,4.820847034454346,0.0,0.0,515.865400314331,0,0,4.820847034454346,0,0,257902,0.0,0.0,1818428.3836051298,2,580,768,173.55049324035645
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7872396.80080404,3020329.674635516,9167707.524560478,-2954.5583154940978,-498.7648439654149,3453.323159502819,127394236.97560136,47481320.86912158,238888193.9478555,127344180.18871294,47476790.61815176,238967788.79207274,-50056.78688842058,-4530.250969819725,79594.84421724081,0,0,1,0.0,0.0,3.778385877609253,0.0,0.0,267.2301092147827,0,0,3.778385877609253,0,0,248415,0.0,0.0,1687602.9655424731,2,580,769,136.0218915939331
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7868224.70925358,3019596.705353832,9172612.585392604,-7126.649865954183,-1231.7341256495565,8358.383991628885,127394236.97560136,47481320.86912158,238888193.9478555,127272648.96631724,47469787.48367995,239116045.34510806,-121588.00928412378,-11533.385441631079,227851.39725255966,0,0,1,0.0,0.0,2.7335169315338135,0.0,0.0,195.26157474517822,0,0,2.7335169315338135,0,0,536003,0.0,0.0,3373318.5971138156,2,580,770,98.40660953521729
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7872037.316563692,3020263.2398899724,9168133.443546336,-3314.0425558425486,-565.1995895090513,3879.242145361379,127394236.97560136,47481320.86912158,238888193.9478555,127338683.30069512,47476185.82200511,238978699.92692047,-55553.67490623891,-5135.047116473317,90505.97906497121,0,0,1,0.0,0.0,4.056023120880127,0.0,0.0,482.23513984680176,0,0,4.056023120880127,0,0,250996,0.0,0.0,1641648.5548027942,2,580,771,146.01683235168457
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7870338.741433354,3019979.0920833433,9170116.166483311,-5012.617686180398,-849.3473961381242,5861.965082336217,127394236.97560136,47481320.86912158,238888193.9478555,127307997.80598713,47473359.04604234,239032454.45109135,-86239.16961422563,-7961.823079243302,144260.50323584676,0,0,1,0.0,0.0,3.9784438610076904,0.0,0.0,541.9011240005493,0,0,3.9784438610076904,0,0,295128,0.0,0.0,2010193.847436145,2,580,772,143.22397899627686
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7872513.995435489,3020342.441494368,9167577.563070158,-2837.363684045151,-485.99798511341214,3323.3616691827774,127394236.97560136,47481320.86912158,238888193.9478555,127346359.72904944,47476861.580167435,238967196.6567283,-47877.246551916,-4459.288954146206,79002.7088727951,0,0,1,0.0,0.0,2.5715136528015137,0.0,0.0,293.5099697113037,0,0,2.5715136528015137,0,0,247355,0.0,0.0,1711842.6353145838,2,580,774,92.57449150085449
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7871834.165677287,3020225.727374712,9168374.106948022,-3517.193442247808,-602.7121047694236,4119.905547047034,127394236.97560136,47481320.86912158,238888193.9478555,127334952.54269803,47475816.233008236,238989308.62771094,-59284.4329033345,-5504.636113345623,101114.67985543609,0,0,1,0.0,0.0,1.0818052291870117,0.0,0.0,127.8326940536499,0,0,1.0818052291870117,0,0,295983,0.0,0.0,2081826.6873120666,2,580,775,38.94498825073242
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7871150.695250456,3020115.871761946,9169167.432987548,-4200.663869078271,-712.5677175354213,4913.2315865736455,127394236.97560136,47481320.86912158,238888193.9478555,127322184.02753088,47474607.96964879,239008337.3328235,-72052.94807048142,-6712.899472787976,120143.38496798277,0,0,1,0.0,0.0,4.997821807861328,0.0,0.0,763.4412803649902,0,0,4.997821807861328,0,0,317771,0.0,0.0,2108294.9535343526,2,580,6179,179.9215850830078
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7872619.238252994,3020359.3206880274,9167455.441059038,-2732.1208665408194,-469.118791454006,3201.2396580632776,127394236.97560136,47481320.86912158,238888193.9478555,127347934.38546373,47476987.855385035,238965564.8918054,-46302.5901376307,-4333.01373654604,77370.94394990802,0,0,1,0.0,0.0,3.5400688648223877,0.0,0.0,766.1692571640015,0,0,3.5400688648223877,0,0,298554,0.0,0.0,1872547.4264521003,2,580,6180,127.44247913360596
