idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.359,3020828.439,9164254.201,7874979.373,3020621.914,9164832.713,-371.9863427,-206.5252765,578.5116191,127394237,47481320.87,238888193.9,127387521.3,47476843.2,238977661.9,-6715.682968,-4477.668404,89467.95661,0,0,1,0,0,0.679120898,0,0,52.02521753,0,0,0,0,0,2124084,0,0,8586884.728,2,0,0,24.44835234
1,7875351.359,3020828.439,9164254.201,7847186.571,3014503.512,9198743.916,-28164.78763,-6324.92713,34489.71476,127394237,47481320.87,238888193.9,126981665.1,47402844.43,240432335.7,-412571.8906,-78476.44019,1544141.783,0,0,1,0,0,4.461166382,0,0,440.5839615,0,0,4.461166382,0,0,5807908,0,0,36044256.33,2,0,174,160.6019897
2,7875351.359,3020828.439,9164254.201,7868298.467,3019138.996,9172996.537,-7052.892253,-1689.443508,8742.335761,127394237,47481320.87,238888193.9,127294927.1,47460144.47,239313862.1,-99309.90415,-21176.39893,425668.1836,0,0,1,0,0,4.770184517,0,0,879.592289,0,0,4.770184517,0,0,2939280,0,0,12972099.46,2,0,178,171.7266426
3,7875351.359,3020828.439,9164254.201,7865083.51,3018421.924,9176928.566,-10267.84868,-2406.515856,12674.36454,127394237,47481320.87,238888193.9,127247616.9,47451882.31,239540494,-146620.0633,-29438.5599,652300.0165,0,0,1,0,0,4.875558376,0,0,973.0752125,0,0,4.875558376,0,0,3984175,0,0,18665989.58,2,0,180,175.5201015
4,7875351.359,3020828.439,9164254.201,7859653.547,3016940.911,9183839.542,-15697.81198,-3887.528732,19585.34072,127394237,47481320.87,238888193.9,127168693.7,47424783.01,240123284.6,-225543.2586,-56537.8624,1235090.655,0,0,1,0,0,3.212578297,0,0,672.9888439,0,0,3.212578297,0,0,7671987,0,0,34831348.35,2,0,181,115.6528187
5,7875351.359,3020828.439,9164254.201,7857738.911,3016678.177,9186016.913,-17612.44841,-4150.262756,21762.71116,127394237,47481320.87,238888193.9,127141686.3,47427714.83,240254782.1,-252550.6477,-53606.03636,1366588.181,0,0,1,0,0,3.807455063,0,0,821.7147102,0,0,3.807455063,0,0,7299800,0,0,37088775.49,2,0,182,137.0683823
6,7875351.359,3020828.439,9164254.201,7858082.959,3016712.751,9185638.29,-17268.39972,-4115.688817,21384.08853,127394237,47481320.87,238888193.9,127148805.4,47425028.73,240149350.2,-245431.621,-56292.14187,1261156.275,0,0,1,0,0,3.152049303,0,0,722.6967459,0,0,3.152049303,0,0,7443317,0,0,34206595.12,2,0,183,113.4737749
7,7875351.359,3020828.439,9164254.201,7831268.899,3010466.142,9218698.959,-44082.45996,-10362.29718,54444.75715,127394237,47481320.87,238888193.9,126736192.3,47340104.87,241984308.1,-658044.6269,-141215.9947,3096114.129,0,0,1,0,0,2.99098134,0,0,314.7341108,0,0,2.99098134,0,0,11546369,0,0,69125933.68,2,0,184,107.6753283
8,7875351.359,3020828.439,9164254.201,7856357.706,3016679.219,9187397.075,-18993.65347,-4149.220222,23142.87369,127394237,47481320.87,238888193.9,127130415.5,47431902.75,240067617.4,-263821.4961,-49418.11892,1179423.422,0,0,1,0,0,4.025034428,0,0,676.0602551,0,0,4.025034428,0,0,6016715,0,0,28876653.29,2,0,185,144.9012394
9,7875351.359,3020828.439,9164254.201,7834382.532,3011419.579,9214631.89,-40968.82761,-9408.860738,50377.68834,127394237,47481320.87,238888193.9,126791752.3,47356569.47,241615725.4,-602484.6965,-124751.401,2727531.48,0,0,1,0,0,2.117525816,0,0,277.0579691,0,0,2.117525816,0,0,10710484,0,0,63062716.8,2,0,186,76.23092937
