idx,Ck1Road,Ck1Bus,Ck1Rail,Ck2Road,Ck2Bus,Ck2Rail,CkDiffRoad,CkDiffBus,CkDiffRail,Lk1Road,Lk1Bus,Lk1Rail,Lk2Road,Lk2Bus,Lk2Rail,deltaLkRoad,deltaLkBus,deltaLkRail,scenarioLinkDepthRoad, scenarioLinkDepthBus, scenarioLinkDepthRail,scenarioLinkKMRoad, scenarioLinkKMBus, scenarioLinkKMRail,scenarioLinkSavedSecsRoad, scenarioLinkSavedSecsBus, scenarioLinkSavedSecsRail,LBarRoad, LBarBus, LBarRail,nMinusRoad, nMinusBus, nMinusRail,SavedSecsRoad, savedSecsBus, savedSecsRail,net_mode, net_i, net_j, net_secs
0,7875351.3591195345,3020828.4394794814,9164254.201400975,7865345.460691581,3019058.840062688,9176029.699245725,-10005.898427953944,-1769.599416793324,11775.497844750062,127394236.97560136,47481320.86912158,238888193.9478555,127241369.42100783,47464260.673880145,239256757.66341704,-152867.55459353328,-17060.195241436362,368563.71556153893,0,0,1,0.0,0.0,2.5228967666625977,0.0,0.0,151.5014991760254,0,0,2.5228967666625977,0,0,1764840,0.0,0.0,10823120.125103785,2,365,754,90.82428359985352
1,7875351.3591195345,3020828.4394794814,9164254.201400975,7874062.073241556,3020595.8498675833,9165776.076890873,-1289.2858779784292,-232.58961189817637,1521.875489898026,127394236.97560136,47481320.86912158,238888193.9478555,127374262.98630756,47478639.28236883,238941729.54390776,-19973.989293798804,-2681.5867527499795,53535.59605225921,0,0,1,0.0,0.0,4.886598110198975,0.0,0.0,2244.4994144439697,0,0,4.886598110198975,0,0,593038,0.0,0.0,1616281.2002341584,2,365,755,175.9175319671631
2,7875351.3591195345,3020828.4394794814,9164254.201400975,7873684.474916353,3020512.1606599996,9166237.364423659,-1666.884203181602,-316.2788194818422,1983.1630226839334,127394236.97560136,47481320.86912158,238888193.9478555,127368347.69571824,47477748.66400307,238968510.84401214,-25889.279883116484,-3572.2051185145974,80316.89615663886,0,0,1,0.0,0.0,4.0060906410217285,0.0,0.0,2474.3770809173584,0,0,4.0060906410217285,0,0,892650,0.0,0.0,4178216.8510109796,2,365,756,144.21926307678223
3,7875351.3591195345,3020828.4394794814,9164254.201400975,7870502.481083561,3019954.3532355633,9169977.165680835,-4848.8780359737575,-874.0862439181656,5722.964279860258,127394236.97560136,47481320.86912158,238888193.9478555,127317483.59796381,47472113.874977164,239089997.88138413,-76753.37763755023,-9206.994144417346,201803.93352863193,0,0,1,0.0,0.0,4.947466850280762,0.0,0.0,355.33899307250977,0,0,4.947466850280762,0,0,1419220,0.0,0.0,7516148.818630397,2,365,758,178.10880661010742
4,7875351.3591195345,3020828.4394794814,9164254.201400975,7870667.636862811,3019979.2015438355,9169787.161593314,-4683.722256723791,-849.2379356459714,5532.960192339495,127394236.97560136,47481320.86912158,238888193.9478555,127321522.27800608,47472948.50276691,239087841.39613307,-72714.69759528339,-8372.3663546741,199647.44827756286,0,0,1,0.0,0.0,3.8169729709625244,0.0,0.0,459.7004270553589,0,0,3.8169729709625244,0,0,1589279,0.0,0.0,9137068.673933446,2,365,895,137.41102695465088
5,7875351.3591195345,3020828.4394794814,9164254.201400975,7873335.404858287,3020456.4055867526,9166642.189554984,-2015.9542612470686,-372.03389272885397,2387.9881540089846,127394236.97560136,47481320.86912158,238888193.9478555,127363061.67170325,47477549.137655176,238977105.76715526,-31175.303898110986,-3771.7314664050937,88911.81929975748,0,0,1,0.0,0.0,4.560888290405273,0.0,0.0,2235.428077697754,0,0,4.560888290405273,0,0,987792,0.0,0.0,4298565.080158276,2,365,899,164.19197845458984
6,7875351.3591195345,3020828.4394794814,9164254.201400975,7870440.56394243,3019929.52636251,9170063.909695052,-4910.795177104883,-898.9131169714965,5809.708294076845,127394236.97560136,47481320.86912158,238888193.9478555,127317223.54290202,47472418.423332036,239105578.92484668,-77013.4326993376,-8902.445789545774,217384.9769911766,0,0,1,0.0,0.0,4.521078586578369,0.0,0.0,375.4247646331787,0,0,4.521078586578369,0,0,1632834,0.0,0.0,9387022.85793756,2,365,900,162.7588291168213
7,7875351.3591195345,3020828.4394794814,9164254.201400975,7874288.996337174,3020633.4010659005,9165511.602596883,-1062.3627823600546,-195.0384135809727,1257.4011959079653,127394236.97560136,47481320.86912158,238888193.9478555,127377424.99808133,47479397.00408018,238937837.5319623,-16811.977520033717,-1923.8650414049625,49643.58410680294,0,0,1,0.0,0.0,4.917427062988281,0.0,0.0,2039.6240844726562,0,0,4.917427062988281,0,0,646377,0.0,0.0,3424860.281935691,2,365,903,177.02737426757812
8,7875351.3591195345,3020828.4394794814,9164254.201400975,7859993.22551327,3017739.8383610044,9182700.936125709,-15358.133606264368,-3088.6011184770614,18446.73472473398,127394236.97560136,47481320.86912158,238888193.9478555,127150481.28282566,47444617.49830924,239674020.0723356,-243755.69277569652,-36703.37081234157,785826.1244800985,0,0,1,0.0,0.0,4.749886512756348,0.0,0.0,306.0875015258789,0,0,4.749886512756348,0,0,3903463,0.0,0.0,22296246.156454768,2,365,928,170.99591445922852
9,7875351.3591195345,3020828.4394794814,9164254.201400975,7863601.653052261,3018462.4179099808,9178369.929037716,-11749.706067273393,-2366.0215695006773,14115.727636741474,127394236.97560136,47481320.86912158,238888193.9478555,127208038.70821005,47452846.71074519,239490164.49446243,-186198.26739130914,-28474.15837638825,601970.5466069281,0,0,1,0.0,0.0,4.91251802444458,0.0,0.0,365.7261600494385,0,0,4.91251802444458,0,0,3430682,0.0,0.0,19968389.03223073,2,365,929,176.85064888000488
